11-21489T,11/17,1006 hrs,11/17 1006 hrs,11/17 1006 hrs Incident Exposure,700 E Alpha Dr,Cleared By Arrest
11-21494T,11/17,1210 hrs,11/15 1400 hrs,11/17 1210 hrs BikeTheft,Palo Verde West,Pending
"",,,,,Off-Campus &,
11-21497T,11/17,1315 hrs,11/16 1615 hrs,11/16 1715 hrs Bike Theft,Commuter Student,Pending
"",,,,,Services,
11-21502T,11/17,1422 hrs,11/17 1415 hrs,11/17 1422 hrs Theft,Memorial Union,Pending
11-21504T,11/17,1438 hrs,11/17 1338 hrs,11/17 1438 hrs Bike Theft,Schwada,Pending
11-21506T,11/17,1502 hrs,11/15 0000 hrs,11/17 1502 hrs Bike Theft,Best Hall,Pending
11-21508T,11/17,1513 hrs,11/17 0001 hrs,11/17 0600 hrs Bike Theft,College of Design North,Pending
11-21511T,11/17,1559 hrs,11/17 1630 hrs,"11/17 1645 hrs Fight, Warrant Arrest",Parking Structure 59,Closed
11-21513T,11/17,1651 hrs,11/17 0000 hrs,11/17 0800 hrs Bike Theft,Adelphi 2,Pending
11-21514T,11/17,1659 hrs,11/17 1635 hrs,11/17 1645 hrs Theft,Physical Sciences A,Pending
11-21521T,11/17,1922 hrs,11/15 0001 hrs,11/17 1800 hrs Forgery Fraud,Panda Express,Pending
11-21522T,11/17,1916 hrs,11/17 1730 hrs,11/17 1850 hrs Bike Theft,College of Design,Pending
11-21536T,11/17,2343 hrs,11/17 2343 hrs,11/17 2343 hrs Under 21 With Alochol In Body,Vista Del Sol,Cleared By Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Friday, November 18, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21550T,11/18,0325 hrs,11/18 0310 hrs,11/18 0320 hrs Assault,Lot 16,Pending
11-21551T,11/18,0440 hrs,11/18 0440 hrs,11/18 0440 hrs Vandalism,Willow Hall,Pending
11-21561T,11/18,0907 hrs,11/17 2100 hrs,11/18 0700 hrs Bike Theft,Willow Hall,Pending
"",,,,,Jimmy John's at Vista,
11-21563T,11/18,1036 hrs,11/17 0600 hrs,11/18 0400 hrs Forgery,,Pending
"",,,,,Del Sol,
11-21571T,11/18,1611 hrs,11/17 1800 hrs,11/18 0830 hrs Theft,900 S Cady Mall,Pending
11-21581T,11/18,1515 hrs,11/18 1400 hrs,11/18 1450 hrs Theft,Hassayampa 2,Pending
11-21597T,11/18,1837 hrs,11/18 0915 hrs,11/18 1715 hrs Bike Theft,Sun Devil Stadium,Pending
11-21614T,11/18,2053 hrs,11/18 1800 hrs,11/18 2030 hrs Bike Theft,Hayden Library,Pending
"",,,,,E Apache Blvd / S,
11-21620,11/18,2317 hrs,11/18 2244 hrs,11/18 2259 hrs Under 21 with Alcohol in Body - 2 arrests,,Cleared by Arrest
"",,,,,Paseo Del Saber,
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Saturday, November 19, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Possession of Marijuana, Possession of Drug",,
11-21626T,11/19,0054 hrs,11/19 0054 hrs,11/19 0330 hrs,Willow Hall,Pending
"",,,,"Paraphernalia, Under 21 with Alcohol in Body",,
11-21644T,11/19,0901 hrs,11/19 0901 hrs,11/19 0910 hrs Possession of Drug Paraphernalia,Memorial Union,Cleared by Arrest
"",,,,"Possession of Drug Paraphernalia, Under 21 in",,
11-21659T,11/19,1532 hrs,11/19 1532 hrs,11/19 1610 hrs,Lot 72,Cleared by Arrest
"",,,,Possession of Alcohol,,
11-21672T,11/19,1816 hrs,11/19 1816 hrs,11/19 1824 hrs Alcohol Violation,Sun Devil Stadium,Cleared by Arrest
11-21674T,11/19,1831 hrs,11/19 1831 hrs,"11/19 1832 hrs Under 21 in Possession of Alcohol, Trespassing",Sun Devil Stadium,Cleared by Arrest
11-21681T,11/19,1930 hrs,11/19 1930 hrs,11/19 1934 hrs Alcohol Violation,Sun Devil Stadium,Cleared by Arrest
11-21684T,11/19,1940 hrs,11/19 1940 hrs,"11/19 1940 hrs Assault, Alcohol Violation",Sun Devil Stadium,Pending
11-21687T,11/19,1953 hrs,11/19 1953 hrs,11/19 1957 hrs Trespass/Loitering,Sun Devil Stadium,Pending
11-21689T,11/19,2006 hrs,11/19 2006 hrs,11/19 2013 hrs Assault,Sun Devil Stadium,Pending
11-21698T,11/19,2046 hrs,11/19 2046 hrs,11/19 2100 hrs Sexual Abuse,Sun Devil Stadium,Pending
11-21702T,11/19,2125 hrs,11/19 2125 hrs,11/19 2125 hrs Under 21 with Alcohol in Body,Palo Verde West,Cleared by Arrest
11-21703T,11/19,2126 hrs,11/19 1900 hrs,11/19 2100 hrs Criminal Damage,Sonora,Pending
"",,,,"Under 21 with Alcohol in Body, Knowingly Possessing",,
11-21704T,11/19,2137 hrs,11/19 2137 hrs,11/19 2154 hrs,Vista Del Sol,Cleared by Arrest
"",,,,"Fictitious License, Criminal Damage",,
11-21706T,11/19,2152 hrs,11/19 2152 hrs,11/19 2216 Hrs Trespass/Loitering,Hassayampa 1,Cleared by Arrest
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Sunday, November 20, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
11-21720T,11/20,0038 hrs,11/19 1900 hrs,11/19 2345 hrs Criminal Damage,Lot 59 North,Pending
"",,,,"Possession of Marijuana, Possession of Drug",,
11-21721T,11/20,0053 hrs,11/20 0053 hrs,11/20 0117 hrs,S Rural Rd / E 6th St,Pending
"",,,,Paraphernalia,,
11-21723T,11/20,0107 hrs,11/20 0107 hrs,11/20 0213 hrs Under 21 in Possession of Alcohol - 2 Arrests,Hassayampa 1,Cleared by Arrest
11-21727T,11/20,0129 hrs,11/20 0129 hrs,1/24 0129 hrs Criminal Damage,Lot 72,Pending
"",,,,Police Log,,
"",,,,Arizona State University Police Department,,
"",,,,"Monday, November 21, 2011",,
"",,,,Occurred,,
"",Date,Time,,,,
Incident #,,,From,Thru Description,Location,Disposition
"",Reported,Reported,,,,
"",,,Date Time,Date Time,,
"",,,,"Driving on Suspended License, No Proof of Insurance,",700 Block E Apache,
11-21776T,11/21,0049 hrs,11/21 0049 hrs,11/21 0200 hrs,,Cleared by Arrest
"",,,,Expired Out of State Registration,Blvd,
