"",,,,,,Paseo del Saber / E Apache,
10-12172T,8/19,0143 hrs,8/19 0143 hrs,8/19,0143 hrs Under 21 with Alcohol in the Body,,Cleared by Arrest
"",,,,,,Blvd,
10-12174T,8/19,0202 hrs,8/19 0202 hrs,8/19,0202 hrs Under 21 with Alcohol in the Body,Hassayampa Phase II,Cleared by Arrest
10-12177T,8/19,0245 hrs,8/19 0245 hrs,8/19,0245 hrs Under 21 with Alcohol in the Body,San Pablo,Cleared by Arrest
"",,,,,"Felony Trespass, Public Sexual Indecency, Indecent",,
10-12180T,8/19,0306 hrs,8/19 0300 hrs,8/19,0320 hrs,Hassayampa Phase II,Cleared by Arrest
"",,,,,"Exposure, Assault, Under 21 with Alcohol in the Body",,
10-12211T,8/19,1427 hrs,8/16 0001 hrs,8/19,1427 hrs Bicycle Theft,Rosewood,Pending
10-12215T,8/19,1524 hrs,8/19 1524 hrs,8/19,1524 hrs Traffic Accident,Fulton Parking Structure,Closed
10-12216T,8/19,1526 hrs,8/19 1526 hrs,8/19,1639 hrs Domestic Violence,Hayden Library,Cleared by Arrest
10-12219T,8/19,1740 hrs,8/16 noon,8/19,1740 hrs Bicycle Theft,Memorial Union,Pending
10-12220T,8/19,1706 hrs,8/18 1230 hrs,8/19,1600 hrs Theft,Parking Structure 7,Pending
10-12229T,8/19,2148 hrs,8/19 2148 hrs,8/19,2148 hrs Warrant Arrest,E Apache Blvd / S Elm,Cleared by Arrest
10-12230T,8/19,2159 hrs,8/15 unk,8/15,unk Theft of Personal Property,Adelphi,Pending
10-12231T,8/19,2209 hrs,8/19 2209 hrs,8/19,2209 hrs Under 21 with Alcohol in the Body,Parking Structure 4,Cleared by Arrest
10-12232T,8/19,2210 hrs,8/19 2210 hrs,8/19,2210 hrs Possession of Marijuana,Vista del Sol,Cleared by Arrest
10-12235T,8/19,2247 hrs,8/19 2247 hrs,8/19,2316 hrs Under 21 possession of Alcohol,Sonora Center,Cleared by Arrest
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, August 20, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
10-12247T,8/20,0009 hrs,8/20 0009 hrs,8/20,0009 hrs Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
10-12249D,8/20,0022 hrs,8/20 0022 hrs,8/20,0022 hrs Stolen Vehicle Recovery,Downtown Lot 3,Pending
10-12252T,8/20,0030 hrs,8/20 0030 hrs,8/20,0030 hrs Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-12255T,8/20,0035 hrs,8/20 0035 hrs,8/20,0035 hrs Under 21 with Alcohol in the Body,Parking Structure 4,Cleared by Arrest
10-12258T,8/20,0122 hrs,8/20 0122 hrs,8/20,0122 hrs Under 21 with Alcohol in the Body,Goldwater Center,Cleared by Arrest
10-12261T,8/20,0154 hrs,8/20 0154 hrs,8/20,0154 hrs Under 21 with Alcohol in the Body,Sonora Center,Cleared by Arrest
10-12265T,8/20,0212 hrs,8/20 0212 hrs,8/20,0212 hrs Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-12266T,8/20,0221 hrs,8/20 0221 hrs,8/20,0221 hrs Assault,Agave Hall,Pending
10-12268T,8/20,0237 hrs,8/20 0237 hrs,.8/20,0410 hrs Assault,S Alpha Dr,Pending
10-12270T,8/20,0247 hrs,8/20 2230 hrs,8/20,0247 hrs Vehicle Burglary/Theft of Property,Sonora Center,Pending
"",,,,,,E University Dr / S,
10-12274T,8/20,0310 hrs,8/20 0300 hrs,8/20,0310 hrs Aggravated Robbery,,Pending
"",,,,,,McAllister Ave,
"",,,,,,S Scottsdale Rd/ E Mckellips,
10-12275T,8/20,0318 hrs,8/20 0318 hrs,8/20,0329 hrs Warrant Arrest,,Cleared by Arrest
"",,,,,,Rd,
10-12278 T,8/20,0401 hrs,8/20 0401 hrs,8/20,0421 hrs Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
10-12289T,8/20,1049 hrs,8/20 1030 hrs,8/20,1045 hrs Hit & Run Accident,Lot 59,Pending
10-12297T,8/20,1206 hrs,8/20 1206 hrs,8/20,1206 hrs Threat Report,Wells Fargo Arena,Pending
10-12305T,8/20,1311 hrs,8/20 1311 hrs,8/20,1311 hrs Fraudulent Use of Credit Card,325 E Apache Blvd,Pending
10-12311T,8/20,1424 hrs,8/20 1424 hrs,8/20,1424 hrs Threat Report,Wells Fargo Arena,Pending
10-12331T,8/20,1953 hrs,8/20 1943 hrs,8/20,1953 hrs Criminal Damage,Cereus Hall,Pending
10-12341T,8/20,2104 hrs,8/20 2030 hrs,8/20,2104 hrs Theft of Personal Property,Memorial Union,Pending
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12346T,8/20,2119 hrs,8/20 2119 hrs,8/20,2119 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
10-12348T,8/20,2128 hrs,8/20 2128 hrs,8/20,2128 hrs Reckless Burning,Hassayampa Phase 1,Pending
10-12349D,8/20,2132 hrs,8/20 2132 hrs,8/20,2132 hrs Criminal Damage,DP Lot 3,Pending
"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Friday, August 20, 2010",,
"",,,,Occurred,,,
"",Date,Time,,,,,
Incident #,,,From,,Thru Description,Location,Disposition
"",Reported,Reported,,,,,
"",,,Date Time,Date,Time,,
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12354T,8/20,2208 hrs,8/20 2208 hrs,8/20,2208 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12359T,8/20,2226 hrs,8/20 2226 hrs,8/20,2226 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12361T,8/20,2246 hrs,8/20 2246 hrs,8/20,2246 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
10-12370T,8/20,2337 hrs,8/20 2337 hrs,8/20,2337 hrs Under 21 with Alcohol in the Body,Vista del Sol,Cleared by Arrest
"",,,,,Under 21 with Alcohol in the Body / Under 21 in,,
10-12371T,8/20,2338 hrs,8/20 2338 hrs,8/20,2338 hrs,Vista del Sol,Cleared by Arrest
"",,,,,Possession of Alcohol,,
"",,,,,,E University Dr / S Veterans,
